text,old_EV,new_EV,EV_reason,old_AS,new_AS,AS_reason,changed
Our legal aid programme secured favourable outcomes in 72% of land dispute cases. Court records reviewed by independent legal researchers verified case outcomes,1,1,Cites verified court records and independent legal researcher review; compares to district baseline.,0,0,"No explicit conditions, dependencies, or limitations named for design success.",
This guidance tool assists SC/ST students applying for central government scholarships through official portals. Analysis of eight hundred forty-two application,1,1,"Cites specific data: 842 applications, approval rate improvement (34→71%), error reduction (83%).",0,0,"No explicit conditions, dependencies, or acknowledged uncertainties stated.",
Glycogen storage disease type VI patients need high protein diet and frequent meals. Our metabolic disorder programme serves 15 patients across Tamil Nadu. The ,1,1,Height velocity monitoring finding: 80% adequate growth outcome reported.,1,1,Explicitly states two assumptions: families maintain schedules; growth monitoring accessible.,
Focus groups with NID students will identify collaboration pain points,1,0,Planned research method named; no findings or results reported yet.,0,0,No explicit statement of what must be true for design to work.,YES
The mental health helpline might support distressed farmers. We provide crisis intervention calls to landholding farmers in drought-affected districts of Mahara,0,0,"No research, data, or findings cited; only assertion of service provision.",1,1,Explicitly states assumption: 'We assume farmers will call when needed' and acknowledges uncertainty.,
India's healthcare system is severely underfunded relative to population needs and international comparisons. Public health expenditure remains among the lowest,0,0,"Claims lack citations, data, or specific references to support assertions.",0,0,No explicit assumptions named; statements presented as facts without acknowledged dependencies.,
Our skill certification will help construction workers negotiate better wages,0,0,"Claim asserted without research, data, or prior work cited.",0,0,"No explicit conditions, dependencies, or uncertainties named.",
The programme will permanently end all wildlife poaching across India. Every species will be completely protected forever. Universal conservation will be instan,0,0,"No research, data, observations, or prior work cited to support claims.",0,0,"No explicit assumptions, dependencies, or conditions for success acknowledged.",
Tuberculosis patients struggle with treatment adherence. Our DOT supporter programme trains family members in 500 households across Bihar. Treatment completion ,1,1,Cites treatment completion data: 89% success rate vs 71% state average.,1,1,Explicitly states prerequisite: patients must be willing to accept home-based observation.,
Stress tracking features will help coaching students manage their wellbeing,0,0,"Claim asserted without research, data, or prior work cited.",1,0,"No explicit conditions, dependencies, or uncertainties named.",YES
"Hospitality workers face job insecurity during off-season. Our skill-sharing platform helps them find supplementary work, assuming they have smartphones and tim",0,0,"Claims job insecurity without citing research, data, or observations.",1,1,Explicitly states two assumptions: smartphone access and availability for additional work.,
Patients with stroke history in Bangalore need secondary prevention adherence support to maintain medications that reduce recurrence risk when initial event mot,1,1,"Cites programme with 112 patients; reports 48% compliance improvement, 37% recurrence reduction.",1,1,Explicitly states 'We assume that adherence provides recurrence protection' and names design constraints.,
"Anaemia affects 60% of pregnant women in rural Jharkhand. Our iron-fortified rice distribution through PDS reaches 50,000 households. RCT showed 35% improvement",1,1,RCT data (35% haemoglobin improvement) and prevalence statistic (60% anaemia) cited.,1,1,Explicitly states dependency: iron absorption depends on dietary factors; ongoing study acknowledged.,
Construction workers in Surat need secure savings but digital adoption depends on identity documentation and agent access. A labourer mentioned concerns about n,0,1,Cites labourer mention of Aadhaar verification concern; observation-based.,1,1,Explicitly states digital adoption depends on identity documentation and agent access.,YES
The health activities may be contributing to better outcomes. Beneficiaries express appreciation for services. Our team observes possible improvements in commun,0,0,"Claims lack specifics: no data, metrics, or documented findings cited.",0,0,No explicit conditions or dependencies named for design success.,
Glycogen storage disease type III patients face hepatomegaly and myopathy. Our metabolic disorder programme serves 18 patients across Maharashtra. The programme,1,1,Cites liver size reduction outcome (55% of compliant patients).,1,1,Explicitly states two assumptions: high-protein diet maintenance and dietitian accessibility.,
We interviewed nine new mothers in Gujarat slum communities about infant nutrition information sources. Conflicting advice from family members was reported by s,1,1,Nine interviews conducted; seven participants reported conflicting advice creating confusion.,0,1,Acknowledges that effects on health outcomes remain unexplored—unstated dependency.,YES
Anganwadi workers in Sabarkantha will have tablets or smartphones provided by government programmes for data collection. Workers will have electricity access fo,0,0,"No research, data, or observations cited; claims about provision are assertions.",1,1,"Explicitly names dependencies: device provision, electricity access, and acknowledges unexamined failure risk.",
Elderly citizens need simpler interfaces for digital payments that don't overwhelm them with options. People above 60 find current UPI apps confusing and intimi,0,0,"Claims about elderly confusion lack citations, data, or research support.",1,1,Explicitly assumes elderly users find current UPI apps confusing and intimidating.,
The design explores school-based vision screening programmes in government schools. NPCB guidelines exist but implementation varies significantly across states ,1,1,References NPCB guidelines and observed implementation variation across states.,1,1,Names explicit constraints: trained personnel availability limits coverage.,
Patients with asthma in Mumbai needing controller medication need preventer versus reliever understanding when patients use quick-relief inhalers for all sympto,1,1,"Cites programme with 87 patients showing 53% adherence improvement, 47% reliever overuse reduction.",1,1,Explicitly states assumptions: understanding improves adherence; preventers provide benefit; disease control depends on ,
Municipal services are slow and unresponsive. Our grievance tracking portal fixes this bureaucracy.,0,0,"Claims municipal slowness without data, research, or observation.",0,0,"No explicit conditions, dependencies, or limitations named.",
The telemedicine service could reduce healthcare access barriers. Patients consult doctors via video calls. We haven't considered consequences when remote diagn,0,0,"Claims benefit without citing research, data, or user studies.",1,1,Explicitly acknowledges unconsidered risk: diagnosis errors causing delayed treatment.,
This design assumes social media platforms remain accessible and unchanged.,0,0,"No observations, research, data, or prior work cited.",1,1,Explicitly states assumption: social media platforms remain accessible and unchanged.,
Competitive analysis will show us what features similar apps are missing for auto drivers,1,0,Prospective analysis ('will show us') is not evidence; no findings presented.,0,0,No explicit assumptions named; no stated dependencies or conditions acknowledged.,YES
"Girls aged 12-17 with smartphone access in Gujarat urban slums, excluding those without technology access facing different digital divide challenges",0,0,"Describes target population scope; no research, data, or findings cited.",0,1,Explicitly names dependency: smartphone access required; excludes those without technology.,YES
Craft artisans in Kutch need direct market access without intermediary exploitation that reduces their earnings. Traditional craftspeople across India struggle ,0,0,"Claims about artisan struggles and intermediary exploitation stated without data, research, or specific findings.",1,0,"No explicit acknowledgment of dependencies, conditions for success, or stated uncertainties.",YES
The programme assumes that households will invest in sanitation infrastructure. We believe that awareness will motivate toilet construction. The intervention op,0,0,"No research, data, or observations cited to support claims.",1,1,"Explicitly names three assumptions: household investment, awareness motivation, permanent habit change.",
Domestic workers lack formal agreements but how written contracts translate to actual rights protection remains unclear. We believe documentation will naturally,0,0,"Claims lack support; no research, data, or prior work cited.",1,1,Explicitly states context assumes willingness to formalise; names dependency.,
The model assumes that school feeding improves attendance and learning. We theorise that reduced hunger enhances concentration. The programme believes that nutr,0,0,Claims stated as assumptions and theories without supporting data or research cited.,1,1,"Explicitly names assumptions: feeding improves attendance, reduces hunger enhances concentration, nutrition prevents dro",
Intercropping with legumes improves soil nitrogen and subsequent crop yields. Our programme promotes diversified farming for 600 farmers in Madhya Pradesh. Nitr,0,0,"Claims stated as facts; no research, data, or findings cited.",1,0,"No explicit conditions, dependencies, or uncertainties acknowledged.",YES
Our design will empower craft artisans in Kutch to reach global markets,0,0,"No research, data, or prior work cited to support claim.",0,0,"No explicit conditions, dependencies, or uncertainties named.",
Our intervention will completely end all agricultural debt across India forever. Every farmer will achieve complete financial freedom. Universal debt relief wil,0,0,"Claims made without any supporting data, research, or prior work cited.",0,0,"No explicit conditions, dependencies, or acknowledged uncertainties stated.",
Cherimoya farmers face limited consumer awareness for custard apple relative. Positioning targets premium fruit markets. Our programme covers 50 growers in Tami,1,1,Consumer survey with 35% awareness finding cited; programme scale with outcome context.,1,1,Explicitly states 'We assume farmers will maintain quality standards.',
The nutrition supplementation probably reduces malnutrition. Children look healthier according to health workers. We have not yet conducted anthropometric measu,0,0,Subjective observation ('look healthier') without data; measurement planned but not done.,0,1,Explicitly acknowledges missing evidence: 'have not yet conducted anthropometric measurements.',YES
Medium-chain acyl-CoA dehydrogenase deficiency patients need fasting avoidance and emergency protocols. Our metabolic disorder programme serves 35 patients acro,1,1,Acylcarnitine monitoring data (88% stable profiles) supports clinical outcome.,1,1,Explicitly states two assumptions: families implement sick day management; hospitals recognise hypoglycaemia patterns.,
Rural entrepreneurs in Andhra Pradesh seeking to formalise businesses need registration guidance to navigate complex procedures when multiple registrations at d,1,1,Cites pilot programme with 163 entrepreneurs; reports 58% formalisation increase; documents time reduction from 7 months,1,1,Explicitly states two assumptions: registration guidance enables sustained compliance; formalisation benefits outweigh c,
"According to recent reports, design students face increasing mental health challenges",0,1,References 'recent reports' as external source supporting the claim.,0,0,No explicit assumptions or dependencies named; no design limitations stated.,YES
Madhubani painters face competition from printed reproductions. Our authentication programme supports 80 artists in Bihar's Madhubani district. Digital certific,0,0,Scale stated (80 artists) without outcome or finding reported.,0,0,"No explicit conditions, dependencies, or limitations named.",
This programme will completely solve all land ownership disputes in India forever. Every farmer will have secure tenure instantly. Universal land rights will be,0,0,"Claims made without any supporting data, research, or prior work cited.",0,0,"No explicit acknowledgment of conditions, dependencies, or uncertainties required for success.",
Gig delivery workers in Pune face earning transparency issues,0,0,"States a problem without citing research, data, or observations.",0,0,Names a problem but does not explicitly state design assumptions or dependencies.,
Street vendors face eviction. Our legal awareness will help them understand protections.,0,0,"No research, data, or prior work cited to support claim.",0,0,"No explicit conditions, dependencies, or uncertainties named.",
Patients with hepatitis C in Maharashtra accessing treatment need cure verification to confirm viral elimination when expensive treatment concludes and patients,1,1,"Cites programme data: 93 patients, 58% improvement in cure testing completion, 12% treatment failures identified.",1,1,Explicitly states: 'We assume that cure verification provides peace of mind' and 'patients must return for testing'.,
Our tuberculosis treatment programme follows Revised National TB Control Programme protocols for case management. Drug dosing adheres to WHO weight-based regime,1,0,"Cites protocols and guidelines, not research findings or outcomes supporting the design.",0,0,Names constraints or dependencies; no explicit acknowledgment of what must be true for success.,YES
Wilson's disease patients need chelation therapy to prevent copper toxicity. Our treatment support programme serves 40 patients across Maharashtra. The programm,1,1,Cites outcome finding: 72% of patients showed adequate copper control.,1,1,Explicitly states two assumptions: lifelong adherence and continued hospital monitoring.,
Our critique platform serves interaction design students at Anant University during studio project phases. The feedback structures cover user research and proto,0,0,Describes deployment scope; no research findings or outcomes cited.,1,1,Explicitly states two assumptions: internet access and faculty participation.,
The community radio station should amplify local voices. Villagers share stories and concerns on air. We haven't considered whether the platform could be captur,0,0,"No research, data, or prior work cited to support the design.",1,1,Explicitly acknowledges unexamined risk: platform capture by dominant groups.,
Handloom weavers face income instability from seasonal demand fluctuations. Year-round employment through product diversification maintains traditional liveliho,0,1,Cites programme scale (500 artisans in Pochampally) and export linkages as prior work.,1,1,Explicitly states assumption: weavers will adopt new designs despite preference for traditional patterns.,YES
Homeless populations lack shelter information. Our availability system will help them find safe sleeping options.,0,0,"Claims problem and solution without research, data, or user observation.",0,0,"No explicit statement of dependencies, conditions, or acknowledged uncertainties.",
Students preparing for NEET in Tier 2 cities lack access to quality doubt-solving support. Coaching centre teachers are overwhelmed and can't give individual at,1,0,"Claims lack support; testing is prospective ('will refine'), not completed.",1,1,Explicitly states dependency: 'understands common conceptual gaps' and assumes AI can personalise to state curriculum.,YES
Glycerol kinase deficiency patients face developmental delay and adrenal insufficiency. Our genetics programme serves 8 patients across South India. The program,1,1,Adrenal function monitoring with cortisol outcome (70% stable) reported.,1,1,Explicitly states two assumptions: hormone compliance and specialty care accessibility.,
The programme will solve all water scarcity problems across rural India permanently. Every village will achieve complete water security. Agricultural productivi,0,0,"Claims made without any supporting data, research, or prior work cited.",0,0,"No explicit acknowledgment of dependencies, conditions, or uncertainties stated.",
Vegetable growers lack cold storage access for perishable produce. Post-harvest losses are significant due to inadequate infrastructure. Our community cold room,0,0,"Claims problem and solution; no data, research, or findings cited.",1,0,"No explicit conditions, dependencies, or uncertainties acknowledged.",YES
Our health programme probably improves community wellness. Some beneficiaries have reported feeling healthier. The team works hard to deliver quality services.,0,0,"Claims lack support: 'probably', 'some reported', no data or findings cited.",0,0,"No explicit assumptions, dependencies, or limitations named.",
Beneficiaries across various locations receive services. The programme addresses diverse needs. Multiple sectors are engaged. Wide-ranging activities continue.,0,0,"No data, research, observations, or findings cited. Only assertions of scale and scope.",0,0,"No explicit assumptions, dependencies, or conditions for success named.",
Our intervention assumes that teachers will use new pedagogical methods. We believe that demonstration lessons will change teaching practice. The programme oper,0,0,"No research, data, observations, or prior work cited to support claims.",1,1,"Explicitly names three assumptions: teacher method use, demonstration lesson impact, curriculum sustainability.",
Our sanitation programme eliminates open defecation through toilet construction and behaviour change communication. Community-led total sanitation triggers coll,0,0,"Claims stated without supporting data, research, or findings cited.",0,0,"No explicit conditions, dependencies, or uncertainties acknowledged.",
Catla fingerling producers face gill rot during transport stress. Our biosecurity programme covers 90 hatcheries in West Bengal's Nadia district. Prophylactic s,0,0,Scale described (90 hatcheries) without outcome data. No finding reported.,0,0,"No explicit conditions, dependencies, or limitations named.",
Our skill training hopefully improves employment prospects. Some graduates have reportedly found work. The programme appears to be useful based on participant f,0,0,"No data, research, or specific findings cited. Claims lack support.",0,0,"No explicit assumptions, dependencies, or conditions for success named.",
"Women will use improved cookstoves if distributed free of cost. Our programme provides stoves to 1,000 households in Madhya Pradesh. Training sessions ensure pr",0,0,"Scale described (1,000 households) without outcome data. No findings reported.",1,0,No explicit statement of dependencies or conditions for success named.,YES
Vaccination coverage improved from 67% to 91% among target children. Government health MIS data confirmed the immunisation gains. Household surveys validated re,1,1,"Cites outcome data (67%→91%), government records, household surveys, cold chain monitoring.",0,0,"No explicit conditions, dependencies, or limitations named.",
Longan farmers face limited consumer awareness for lychee relative. Positioning targets health-conscious urban consumers. Our programme covers 80 growers in Wes,1,1,Consumer survey with 40% awareness finding cited; programme scale with outcome context.,1,1,Explicitly states 'We assume farmers will maintain quality standards.',
Mitochondrial disease patients need individualised supportive care. Our metabolic disorder programme serves 50 patients across Maharashtra. The programme operat,1,1,Functional monitoring finding: 55% stable status reported outcome.,1,1,"Explicitly states two assumptions: supplement adherence, coordinated multi-specialty care.",
Farmers in Tamil Nadu jasmine-growing regions need crop insurance claim filing assistance when rejected claims reflect documentation errors rather than ineligib,1,1,"Cites pilot with 78 farmers; reports 58% approval rate improvement, 67% rejection reduction.",1,1,Explicitly states assumptions about documentation enabling compensation and approved claims translating to payment.,
Baseline survey of 312 target households found 78% smartphone ownership; we will provide shared-device protocols for remaining 22%,1,1,Baseline survey of 312 households with specific smartphone ownership data cited.,0,1,Explicitly names dependency: shared-device protocols required for 22% without smartphones.,YES
"Students need after-school tutoring support. Our online platform provides video lessons. Since most urban students have internet access, they will naturally pre",0,0,Claims about student need and internet access stated without data or research support.,1,0,Preference for digital learning assumed but not explicitly named as dependency or condition.,YES
The programme might be having some effect. Participants appear somewhat engaged. There could be improvements happening. Staff observe possible changes.,0,0,"Vague hedging language ('might', 'appear', 'could', 'possible') without concrete data or findings.",0,0,"No explicit statement of conditions, dependencies, or acknowledged prerequisites for success.",
Recognition systems will motivate ASHA workers to improve performance,0,0,"Claim asserted without research, data, or prior work cited.",1,0,"No explicit statement of conditions, dependencies, or uncertainties named.",YES
The solution will improve healthcare access for millions of underserved citizens.,0,0,"Claim asserted without supporting data, research, or prior work cited.",0,0,"No explicit conditions, dependencies, or acknowledged uncertainties stated.",
Providing hearing aids will improve deaf children's language development. Amplification enables auditory learning and speech acquisition. Our programme serves 8,0,0,"Claims stated without supporting data, research, or findings cited.",1,0,No explicit assumptions named. Programme scale alone is not acknowledged dependency.,YES
We assume intergenerational living arrangements continue in target communities.,0,0,"No observations, data, research, or prior work cited.",1,1,Explicitly states 'We assume' intergenerational living arrangements continue.,
Economic incentives motivate waste segregation behaviour. Our deposit-return scheme for plastic bottles achieved 78% return rates across 50 collection points in,1,1,Cites specific outcome data: 78% return rates across 50 collection points.,1,0,No explicit statement of conditions or dependencies for success.,YES
Rural elderly need voice-based interfaces since many cannot read screens,0,0,"Claim asserted without research, data, or observation cited.",1,0,No explicit statement of dependencies or conditions for success named.,YES
Students need mentorship to navigate career decisions. Our alumni network connects current students with industry professionals for guidance. Informed choices l,0,0,Claims about student needs and career outcomes lack supporting data or research.,1,0,"No explicit statement of dependencies, conditions, or acknowledged uncertainties.",YES
Ration card holders in Gujarat who have faced delays exceeding 3 months,0,0,"Describes a target population; no research, data, or findings cited.",0,0,"No explicit assumptions, dependencies, or design constraints named.",
CEPT library closes early during student exam preparation weeks,0,0,"No research, data, or observations cited to support the closure decision.",0,0,"No explicit conditions, dependencies, or acknowledged uncertainties stated.",
Epilepsy patients need anti-convulsant medication for seizure control. Our community outreach serves 300 patients in rural Kerala. The programme assumes governm,1,1,Seizure frequency reduction of 70% documented through patient diaries and clinic records.,1,1,Explicitly states two assumptions: PHC medicine stocking and family medication schedule management.,
53 families receiving early awareness will be tracked for intervention initiation timing and milestone achievement versus late-awareness control group,1,0,"Describes a planned study design, not actual findings or data.",0,1,Explicitly names dependency: early awareness enables faster intervention initiation.,YES
Auto drivers in Ahmedabad are losing income to app-based aggregators,0,0,"Assertion without data, research, or observation cited.",0,0,"No explicit conditions, dependencies, or acknowledged uncertainties stated.",
Persons with disabilities need accessible infrastructure to participate in public life. Our accessibility audit programme identifies barriers in public building,0,0,"Claims stated without supporting data, research, or findings.",1,0,"No explicit conditions, dependencies, or acknowledged uncertainties named.",YES
Our child malnutrition programme reduced stunting from 45% to 28% over three years. Anthropometric surveys by IIPS-trained assessors at baseline and endline. Go,1,1,"Cites outcome data (45%→28% stunting reduction), methodology (anthropometric surveys, IIPS-trained assessors), and corro",0,0,"No explicit statement of dependencies, conditions, or acknowledged uncertainties for design success.",
The women's empowerment programme increases economic independence through self-help group formation. Savings mobilisation and credit access enable microenterpri,0,0,"Claims stated without supporting data, research, or findings.",0,0,No explicit acknowledgment of dependencies or conditions for success.,
Our agricultural extension programme increases farmer incomes through improved practices and market linkages. Technology adoption combined with aggregation serv,0,0,"Claims stated without supporting data, research, or findings.",0,0,"No explicit conditions, dependencies, or uncertainties named.",
Rewards motivate continued participation,0,0,"Assertion without supporting data, research, or observation.",1,0,"No explicit statement of conditions, dependencies, or acknowledged uncertainties.",YES
"The tribal development programme will transform 100,000 forest-dependent households. Sustainable livelihood options reduce pressure on protected forests. Commun",0,0,"Claims scale and outcomes without citing research, data, or prior findings.",1,0,"No explicit statement of dependencies, conditions, or acknowledged uncertainties.",YES
This intervention will completely eliminate all urban slums in India forever. Every family will have quality housing instantly. Universal shelter transformation,0,0,"No research, data, observations, or prior work cited to support claims.",0,0,"No explicit assumptions, dependencies, or conditions for success named.",
HIV-positive mothers lack counselling support during pregnancy. Our peer navigator programme provides psychosocial support and PMTCT adherence assistance in And,0,0,"Claims problem and solution without citing research, data, or observations.",0,0,"No explicit statement of conditions, dependencies, or acknowledged uncertainties.",
Patients take wrong medications. Our interaction awareness will improve safety.,0,0,Claims problem and solution without supporting data or research.,0,0,"No explicit statement of conditions, dependencies, or prerequisites for success.",
2-methylbutyryl-CoA dehydrogenase deficiency patients typically remain asymptomatic. Our metabolic disorder programme monitors 10 patients across Tamil Nadu. Th,1,1,Cites developmental assessment finding (100% normal function); programme monitors 10 patients.,1,1,Explicitly states two assumptions: families receive reassurance; genetic counselling remains accessible.,
Persona development will help us understand the diversity of vernacular medium students,1,0,Claims benefit of persona development without supporting research or data.,0,0,No explicit statement of required conditions or acknowledged dependencies.,YES
Artisans struggle to reach urban markets. Our e-commerce platform bridges this gap.,0,0,"Claim asserted without data, research, or observation cited.",0,0,"No explicit conditions, dependencies, or uncertainties named.",
Multiple acyl-CoA dehydrogenase deficiency patients need riboflavin supplementation and dietary management. Our metabolic disorder programme serves 20 patients ,1,1,Acylcarnitine monitoring data reported for 75% of patients.,1,1,Explicitly states two assumptions: lifelong supplementation and continued metabolic monitoring.,
Elderly citizens need support navigating digital government services. Something should be created to help them. Technology can make things easier. Adoption by o,0,0,"Claims stated without research, data, or observations cited.",1,0,No explicit assumptions named; observations presented as facts.,YES
We assume patients will complete the full treatment regimen despite side effects. The programme assumes families will prioritise medical appointments over daily,0,0,"No observations, research, data, or prior work cited.",1,1,"Multiple explicit assumptions stated: patient compliance, family prioritisation, caregiver adherence, behaviour persiste",
This programme will completely eliminate all vaccine hesitancy across India forever. Every citizen will accept all immunisations instantly. Universal vaccinatio,0,0,"Claims made without any supporting data, research, or observations.",0,0,"No explicit acknowledgment of dependencies, conditions, or uncertainties stated.",
We intend to conduct household surveys before and after the programme.,1,0,Prospective research plan stated; no findings or data presented yet.,0,0,No explicit assumptions named; only a planned method described.,YES
Telemedicine will reduce travel burden for rural Rajasthan patients,0,0,"Claim asserted without research, data, or prior work cited.",1,0,No explicit conditions or dependencies named for the design to work.,YES
The intervention assumes that households will segregate waste at source after awareness campaigns. We expect that door-to-door collection will facilitate compli,0,0,"No research, data, or prior work cited to support claims.",1,1,"Explicitly states three assumptions: source segregation after campaigns, door-to-door collection facilitates compliance,",
The voter guide specifically assists first-time voters in Gujarat municipal elections for ward-level candidates. Our content covers candidate backgrounds and lo,0,0,"No research, data, or observations cited to support design choices.",1,1,Explicitly states two assumptions: smartphone access and voter interest in civic information.,
Street vendors will adopt digital payments once we remove the complexity barrier,0,0,"Claim asserted without research, data, or user observation.",1,0,No explicit statement of dependencies or conditions for success.,YES
Kirana shop owners need inventory management systems that don't require technical expertise or expensive hardware. Small retailers across Ahmedabad struggle to ,0,0,"Claims about kirana owners' needs lack supporting research, data, or observations.",1,0,"No explicit statement of dependencies, conditions, or acknowledged uncertainties.",YES
The programme assumes SHG members will attend monthly meetings. We expect beneficiaries will repay loans on time. We believe youth will complete full training d,0,0,"No research, data, observations, or prior work cited to support claims.",1,1,"Multiple explicit assumptions stated: attendance, repayment, training completion, practice implementation.",
HHH syndrome patients need protein restriction and ornithine supplementation. Our metabolic disorder programme serves 6 patients across Karnataka. The programme,1,1,Ornithine monitoring outcome reported: 67% controlled levels.,1,1,Explicitly states two assumptions: dietary compliance and specialty care accessibility.,
Our mobile health app provides medication reminders for chronic disease patients. Patients will regularly check their phones and follow the alerts. Digital tool,0,0,"Claims about user behavior and engagement stated without research, data, or observation.",1,1,Explicitly states dependency: 'patients will regularly check phones' and 'requires sustained engagement'.,
Research has proven that voice interfaces are more accessible for low-literacy users,0,0,"Claims research exists but cites no specific study, data, or findings.",0,0,No explicit assumption stated; claim presented as fact.,
First-generation students need mentorship from people who understand their background,0,0,"Assertion without research, data, or prior work cited.",1,0,"No explicit statement of conditions, dependencies, or acknowledged uncertainties.",YES
Very long-chain acyl-CoA dehydrogenase deficiency patients need fat restriction and frequent feeding. Our metabolic disorder programme serves 25 patients across,1,1,Acylcarnitine monitoring outcome (75% controlled) is a reported finding.,1,1,Explicitly states two assumptions: fasting avoidance and MCT formula accessibility.,
Small retailers in Jamnagar need affordable point-of-sale systems that integrate with GST compliance requirements. Shop owners across Gujarat face challenges wi,0,0,"Claims about retailer needs and challenges stated without research, data, or observations cited.",1,0,"No explicit assumptions, dependencies, or conditions for success are named or acknowledged.",YES
Isovaleric acidemia patients need leucine restriction and carnitine supplementation from diagnosis. Our metabolic disorder programme serves 18 patients across K,1,1,Metabolic monitoring outcome reported: 75% of compliant patients showed controlled parameters.,1,1,Explicitly states two assumptions: dietary compliance and specialty formula affordability.,
Online tutors can't track progress. Our analytics dashboard solves this.,0,0,Claims problem and solution without supporting data or research.,0,0,No explicit statement of dependencies or conditions for success.,
Our skill training programme improves youth employability. Training modules are developed with industry input. Practical assessments are conducted at certified ,1,0,"Claims programme improves employability; no data, outcomes, or research cited.",0,0,No explicit assumptions named; prerequisites and dependencies remain unstated.,YES
Our livelihood programme appears to somewhat support income generation. Beneficiaries seem somewhat satisfied. There might be economic improvement. Changes coul,0,0,"Vague qualifiers ('appears', 'seems', 'might', 'could') without data or findings.",0,0,"No explicit statement of conditions, dependencies, or acknowledged uncertainties.",
Studies indicate that financial literacy interventions have positive effects on savings behaviour though cultural factors mediate outcomes significantly,0,1,Text cites studies showing positive effects on savings behaviour.,1,1,Explicitly names cultural factors as a mediating condition for success.,YES
Youth employment outcomes are encouraging based on placement coordinator feedback. Trainees report finding jobs more easily after completing courses. Employers ,0,0,"Feedback and reports stated without data, findings, or specifics.",0,0,"No explicit conditions, dependencies, or limitations named.",
This allocation system serves traditional rickshaw drivers registered with Ahmedabad transport authority exclusively. Our matching covers trips originating at d,0,0,"No research, data, or findings support the design claims.",1,1,Explicitly states assumption: drivers willing to accept algorithmic assignment.,
SCID infants need bone marrow transplant for immune reconstitution. Our treatment support programme serves 25 patients annually across India. The programme oper,1,1,Cites outcome data: 78% successful engraftment rate from immune function monitoring.,1,1,Explicitly states two assumptions: family relocation and transplant centre isolation facility requirements.,
The elderly care programme operates in contexts where old age pension schemes exist. The intervention targets areas with geriatric healthcare access. We work in,0,0,"Describes programme scope/deployment contexts, not research findings or data supporting claims.",1,1,"Explicitly names required contextual conditions: pension schemes, healthcare access, family structures, legal enforcemen",
The tribal welfare programme hopes to improve economic conditions. Activities are conducted in Jharkhand. Participants seem satisfied with the support provided.,0,0,"No data, research, or findings cited. 'Seem satisfied' is unsubstantiated assertion.",0,0,"No explicit conditions, dependencies, or acknowledged uncertainties stated.",
Ration card holders need status tracking for their applications,0,0,Assertion of user need without supporting research or data.,1,0,"No explicit statement of conditions, dependencies, or acknowledged uncertainties.",YES
"Clean cookstove distribution reached 8,000 households in rural Odisha. Stoves tested compliant with emission standards. Whether families actually use them consi",1,1,"Cites distribution scale (8,000 households) and emission compliance testing results.",1,1,Explicitly acknowledges unmonitored assumptions: consistent use and health outcomes not verified.,
Street children lack safe spaces for recreation. Our drop-in centres provide educational activities for 300 children in Kolkata. Social workers identify childre,0,0,Scale described (300 children) without outcome or finding reported.,0,0,"No explicit conditions, dependencies, or limitations named.",
Night shift workers cannot access regular health clinics. Our 24-hour telemedicine service provides consultations for factory employees in Surat industrial esta,0,0,"Claims night-shift barrier and service existence; no research, data, or findings cited.",0,0,"No explicit assumptions named. Dependencies (internet, device access, doctor availability) remain unstated.",
The land rights programme assists tribal communities with claims. Forest Rights Act implementation will continue as policy priority. Local administration will p,0,0,"Claims stated without supporting data, research, or findings.",1,1,Explicitly assumes local administration will process applications without bias.,
Cystinuria patients require hydration and pH modification to prevent stone formation. Our nephrology programme serves 45 patients across Tamil Nadu. The program,1,1,Cystine excretion monitoring with 70% compliance outcome reported.,1,1,Explicitly states two assumptions: family hydration protocol maintenance and specialty stone analysis accessibility.,
Our model posits that exposure to alternative role models changes adolescent aspirations. We assume that life skills training builds resilience. The programme b,0,0,"Claims posited and believed without supporting data, research, or observations.",1,1,Explicitly states 'We assume that life skills training builds resilience.',
Tannery workers in Kanpur facing occupational skin disease need dermatological care navigation to access treatment when workplace exposure creates chronic condi,1,1,193 workers studied; 67% specialist consultation increase; 49% adherence improvement reported.,1,1,"Explicitly states assumptions about specialist capacity, affordability, and employer accommodation resistance.",
Construction workers face injuries. Our safety training teaches protocols. This will achieve zero accidents at all sites.,0,0,"No research, data, or prior work cited to support claim.",0,0,No explicit assumptions named; prerequisites unstated and treated as facts.,
Traffic congestion wastes commuter time daily. Our carpooling app solves this problem.,0,0,"Claims congestion exists and app solves it; no data, research, or findings cited.",0,0,"No explicit assumptions named. Dependencies (e.g., user adoption, matching algorithms) remain unstated.",
Early childhood stimulation improves cognitive development. Enhanced cognition translates to better school readiness. Our play-based programme serves 500 childr,0,0,"Claims stated as facts; no research, data, or findings cited.",1,0,"No explicit conditions, dependencies, or uncertainties acknowledged.",YES
Fisherwomen in Tamil Nadu coastal villages need collective marketing platforms to bypass male-dominated auction systems where women's catches receive systematic,1,1,Pilot with 93 women showed 34% price improvement.,1,1,Explicitly states platform covers direct retail sales only; male capture of gains requires investigation.,
The platform will democratise access to financial services.,0,0,"Assertion without support, research, data, or prior work cited.",0,0,"No explicit statement of conditions, dependencies, or what must be true.",
Our water purification units probably improve health outcomes. A few families mentioned having fewer stomach problems. The community seems satisfied with the in,0,0,"Anecdotal mentions without data, research, or systematic observation.",0,0,"No explicit statement of conditions, dependencies, or acknowledged uncertainties.",
